Sat Jun 19 11:17:17 2021 Epoch 84, lr: 0.0000000, val loss: 40.53221, acc: 88.58000
Sat Jun 19 11:18:40 2021 Epoch 85, lr: 0.0000000, val loss: 40.97598, acc: 88.32000
Sat Jun 19 11:20:03 2021 Epoch 86, lr: 0.0000000, val loss: 40.94267, acc: 88.45000
Sat Jun 19 11:21:26 2021 Epoch 87, lr: 0.0000000, val loss: 40.91821, acc: 88.46000
Sat Jun 19 11:22:49 2021 Epoch 88, lr: 0.0000000, val loss: 40.92910, acc: 88.34000
Sat Jun 19 11:24:11 2021 Epoch 89, lr: 0.0000000, val loss: 40.80054, acc: 88.41000
Sat Jun 19 11:25:34 2021 Epoch 90, lr: 0.0000000, val loss: 41.06373, acc: 88.27000
Sat Jun 19 11:26:57 2021 Epoch 91, lr: 0.0000000, val loss: 40.68768, acc: 88.44000
Sat Jun 19 11:28:20 2021 Epoch 92, lr: 0.0000000, val loss: 40.80806, acc: 88.44000
Sat Jun 19 11:29:44 2021 Epoch 93, lr: 0.0000000, val loss: 40.56082, acc: 88.56000
Sat Jun 19 11:31:07 2021 Epoch 94, lr: 0.0000000, val loss: 40.75702, acc: 88.42000
Sat Jun 19 11:32:30 2021 Epoch 95, lr: 0.0000000, val loss: 40.68933, acc: 88.43000
Sat Jun 19 11:33:53 2021 Epoch 96, lr: 0.0000000, val loss: 40.78482, acc: 88.48000
Sat Jun 19 11:35:16 2021 Epoch 97, lr: 0.0000000, val loss: 40.81860, acc: 88.51000
Sat Jun 19 11:36:39 2021 Epoch 98, lr: 0.0000000, val loss: 40.65756, acc: 88.47000
Sat Jun 19 11:38:03 2021 Epoch 99, lr: 0.0000000, val loss: 40.95243, acc: 88.36000
